95.000000,44.000000,76.000000,0.000000,0.000000,19.000000,5.000000,9.000000,6.000000,10.000000,14.000000,16.000000,40.138965,60.917679,2.777778,169.215774,16.000000,9.400876,1.000000
90.000000,57.000000,66.000000,1.000000,0.000000,23.000000,3.000000,12.000000,9.000000,13.000000,15.000000,22.000000,47.774438,85.951593,1.625000,139.671339,23.000000,7.759519,1.000000
152.000000,85.000000,123.000000,2.000000,0.000000,27.000000,7.000000,28.000000,20.000000,34.000000,35.000000,54.000000,154.257422,276.981283,4.250000,1177.170452,36.000000,65.398358,1.000000
364.000000,212.000000,278.000000,5.000000,3.000000,78.000000,11.000000,56.000000,35.000000,67.000000,67.000000,102.000000,363.265623,618.741097,6.580357,4071.537400,79.000000,226.196522,1.000000
551.000000,297.000000,344.000000,34.000000,75.000000,98.000000,13.000000,80.000000,56.000000,104.000000,93.000000,160.000000,553.859964,1046.265410,8.450000,8840.942713,100.000000,491.163484,1.000000
213.000000,112.000000,145.000000,3.000000,29.000000,37.000000,9.000000,34.000000,25.000000,36.000000,43.000000,61.000000,201.503062,331.002150,4.764706,1577.127891,45.000000,87.618216,1.000000
285.000000,156.000000,226.000000,3.000000,0.000000,56.000000,7.000000,22.000000,13.000000,24.000000,29.000000,37.000000,117.758980,179.745297,3.818182,686.300224,38.000000,38.127790,1.000000
306.000000,161.000000,260.000000,1.000000,0.000000,45.000000,12.000000,58.000000,41.000000,72.000000,70.000000,113.000000,382.782448,692.608981,7.448276,5158.742754,69.000000,286.596820,1.000000
449.000000,279.000000,348.000000,11.000000,4.000000,88.000000,11.000000,123.000000,86.000000,163.000000,134.000000,249.000000,891.983032,1759.456208,7.288618,12824.003991,138.000000,712.444666,1.000000
571.000000,242.000000,314.000000,111.000000,51.000000,95.000000,13.000000,63.000000,52.000000,89.000000,76.000000,141.000000,424.674352,880.957779,9.182540,8089.429768,81.000000,449.412765,1.000000
333.000000,197.000000,265.000000,11.000000,0.000000,60.000000,11.000000,40.000000,26.000000,48.000000,51.000000,74.000000,250.930872,419.759475,6.600000,2770.412537,77.000000,153.911808,1.000000
129.000000,56.000000,102.000000,13.000000,0.000000,23.000000,10.000000,26.000000,22.000000,40.000000,36.000000,62.000000,155.430714,320.535350,7.692308,2465.656539,42.000000,136.980919,1.000000
284.000000,150.000000,208.000000,21.000000,15.000000,47.000000,6.000000,33.000000,22.000000,38.000000,39.000000,60.000000,181.974781,317.124133,3.454545,1095.519733,49.000000,60.862207,1.000000
222.000000,117.000000,164.000000,7.000000,8.000000,43.000000,7.000000,32.000000,19.000000,37.000000,39.000000,56.000000,179.651484,295.982524,4.046875,1197.804278,35.000000,66.544682,1.000000
452.000000,279.000000,342.000000,15.000000,0.000000,95.000000,14.000000,99.000000,61.000000,120.000000,113.000000,181.000000,709.609274,1234.452392,8.484848,10474.141510,108.000000,581.896751,1.000000
56.000000,24.000000,39.000000,1.000000,4.000000,12.000000,5.000000,13.000000,8.000000,14.000000,18.000000,22.000000,59.715357,91.738350,2.692308,246.987865,18.000000,13.721548,1.000000
21.000000,16.000000,16.000000,0.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.000000,0.000000,1.000000
536.000000,278.000000,421.000000,7.000000,0.000000,108.000000,13.000000,84.000000,59.000000,106.000000,97.000000,165.000000,585.060380,1088.985619,8.202381,8932.274898,100.000000,496.237494,1.000000
589.000000,311.000000,464.000000,13.000000,0.000000,112.000000,15.000000,108.000000,87.000000,163.000000,123.000000,250.000000,788.131209,1735.628626,11.319444,19646.351812,114.000000,1091.463990,1.000000
364.000000,212.000000,278.000000,5.000000,3.000000,78.000000,11.000000,56.000000,35.000000,67.000000,67.000000,102.000000,363.265623,618.741097,6.580357,4071.537400,79.000000,226.196522,1.000000
961.000000,575.000000,743.000000,41.000000,9.000000,169.000000,14.000000,189.000000,129.000000,231.000000,203.000000,360.000000,1482.566787,2759.520930,8.555556,23609.234625,196.000000,1311.624146,1.000000
215.000000,111.000000,121.000000,21.000000,29.000000,44.000000,11.000000,32.000000,23.000000,40.000000,43.000000,63.000000,198.053748,341.854680,6.875000,2350.250922,43.000000,130.569496,1.000000
512.000000,314.000000,378.000000,23.000000,12.000000,98.000000,13.000000,72.000000,46.000000,86.000000,85.000000,132.000000,492.340316,846.039604,7.763889,6568.557478,113.000000,364.919860,1.000000
955.000000,505.000000,666.000000,87.000000,57.000000,145.000000,14.000000,137.000000,87.000000,153.000000,151.000000,240.000000,1025.733364,1737.217137,7.817518,13580.726673,192.000000,754.484815,1.000000
222.000000,117.000000,164.000000,7.000000,8.000000,43.000000,7.000000,32.000000,19.000000,37.000000,39.000000,56.000000,179.651484,295.982524,4.046875,1197.804278,35.000000,66.544682,1.000000
318.000000,147.000000,254.000000,5.000000,0.000000,59.000000,9.000000,38.000000,26.000000,49.000000,47.000000,75.000000,227.950571,416.594164,5.802632,2417.342451,61.000000,134.296803,1.000000
90.000000,57.000000,66.000000,1.000000,0.000000,23.000000,3.000000,12.000000,9.000000,13.000000,15.000000,22.000000,47.774438,85.951593,1.625000,139.671339,23.000000,7.759519,1.000000
21.000000,16.000000,16.000000,0.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.000000,0.000000,1.000000
169.000000,89.000000,112.000000,8.000000,10.000000,37.000000,7.000000,40.000000,24.000000,42.000000,47.000000,66.000000,232.528608,366.602864,3.675000,1347.265526,43.000000,74.848085,1.000000
