,,MNB,BNB,GNB,DTC,LOGR,KNN,SVCL,SVCLP,SVCR,BAGK,BAGNB,BAGL,BAGD
,poetry,0.554717,0.603774,0.611321,0.426415,0.611321,0.535849,0.603774,0.539623,0.584906,0.581132,0.558491,0.607547,0.486792
,redash,0.713402,0.713402,0.701031,0.680412,0.721649,0.686598,0.715464,0.721649,0.721649,0.684536,0.713402,0.715464,0.661856
,scrapy,0.55102,0.591837,0.538776,0.583673,0.518367,0.555102,0.559184,0.559184,0.514286,0.559184,0.546939,0.542857,0.612245
,spaCy,0.554438,0.573964,0.546746,0.611243,0.569822,0.618343,0.540828,0.549704,0.559172,0.625444,0.554438,0.554438,0.608876
,transformers,0.624579,0.558923,0.619529,0.616162,0.63468,0.575758,0.632997,0.632997,0.627946,0.616162,0.609428,0.631313,0.636364
,yolov5,0.649231,0.647692,0.609231,0.641538,0.649231,0.618462,0.649231,0.644615,0.649231,0.647692,0.649231,0.649231,0.641538
PCAM,black,0.577181,0.610738,0.597315,0.52349,0.583893,0.469799,0.590604,0.550336,0.597315,0.489933,0.52349,0.530201,0.557047
,celery,0.703526,0.707444,0.676099,0.710927,0.699608,0.686983,0.703526,0.706138,0.711363,0.712669,0.703526,0.703526,0.704397
,C python,0.618976,0.614458,0.593876,0.607932,0.616968,0.616466,0.621988,0.616968,0.616968,0.620482,0.618976,0.618976,0.611446
,django-rest-framework,0.682171,0.669251,0.635659,0.643411,0.674419,0.622739,0.682171,0.682171,0.682171,0.674419,0.682171,0.682171,0.645995
,jax,0.638889,0.679293,0.69697,0.671717,0.679293,0.643939,0.679293,0.686869,0.676768,0.691919,0.611111,0.628788,0.679293
,localstack,0.534615,0.525,0.5,0.534615,0.528846,0.576923,0.534615,0.505769,0.505769,0.505769,0.5,0.532692,0.517308
,numpy,0.455102,0.47551,0.45102,0.532653,0.469388,0.52449,0.453061,0.465306,0.479592,0.5,0.457143,0.485714,0.528571
,open pilot,0.50185,0.48582,0.54254,0.557337,0.556104,0.589396,0.51418,0.600493,0.596794,0.581998,0.466091,0.528977,0.58693
,poetry,0.562264,0.562264,0.618868,0.45283,0.588679,0.535849,0.569811,0.633962,0.630189,0.626415,0.554717,0.558491,0.516981
,redash,0.713402,0.71134,0.715464,0.676289,0.715464,0.653608,0.715464,0.721649,0.721649,0.692784,0.713402,0.713402,0.668041
,scrapy,0.546939,0.559184,0.563265,0.555102,0.530612,0.559184,0.522449,0.583673,0.502041,0.514286,0.546939,0.514286,0.522449
,spaCy,0.554438,0.553254,0.500592,0.588166,0.553846,0.599408,0.554438,0.559763,0.573373,0.627219,0.554438,0.554438,0.589941
,transformers,0.616162,0.614478,0.604377,0.606061,0.624579,0.580808,0.622896,0.616162,0.617845,0.622896,0.616162,0.614478,0.594276
,yolov5,0.649231,0.647692,0.635385,0.649231,0.649231,0.52,0.649231,0.643077,0.643077,0.630769,0.649231,0.649231,0.652308
GAM,black,0.42953,0.536913,0.469799,0.536913,0.583893,0.590604,0.597315,0.604027,0.597315,0.550336,0.52349,0.563758,0.557047
,celery,0.703526,0.703526,0.643883,0.703091,0.703962,0.68263,0.703526,0.707444,0.707444,0.700479,0.703526,0.703962,0.697867
,C python,0.618976,0.63002,0.608936,0.594378,0.615462,0.613956,0.618976,0.615462,0.618976,0.611948,0.618976,0.618976,0.616968
