,,MNB,BNB,GNB,DTC,LOGR,KNN,SVCL,SVCLP,SVCR,BAGK,BAGNB,BAGL,BAGD
,redash,0.014184,0,0.152047,0.311111,0.10596,0.269231,0.054795,0.10596,0.10596,0.105263,0,0.054795,0.293103
,scrapy,0.708995,0.704142,0.656535,0.610687,0.638037,0.627986,0.712766,0.691429,0.619808,0.642384,0.707124,0.690608,0.659498
,spaCy,0.713361,0.67713,0.602697,0.672972,0.660756,0.673748,0.674223,0.705153,0.643028,0.695234,0.713361,0.695265,0.663955
,transformers,0.206406,0.310526,0.354286,0.464789,0.306709,0.385366,0.296774,0.253425,0.265781,0.363128,0.016949,0.25256,0.465347
,yolov5,0.787313,0.786181,0.737603,0.766299,0.787313,0.741127,0.787313,0.783099,0.787313,0.773939,0.787313,0.787313,0.766767
PCAM,black,0.461538,0.613333,0.53125,0.268041,0.557143,0.553672,0.57931,0.446281,0.594595,0.424242,0,0.42623,0.410714
,celery,0,0.127273,0.263366,0.330645,0.067568,0.38389,0,0.153074,0.224561,0.261745,0,0,0.338851
,C python,0.764651,0.760449,0.734144,0.687475,0.761637,0.715985,0.766076,0.761637,0.761637,0.729226,0.764651,0.764651,0.706373
,django-rest-framework,0.81106,0.801242,0.763025,0.761246,0.804954,0.734545,0.81106,0.81106,0.81106,0.798722,0.81106,0.81106,0.771285
,jax,0.769726,0.790083,0.792388,0.754717,0.785835,0.740331,0.786555,0.783217,0.777778,0.780576,0.757862,0.76555,0.759924
,localstack,0,0.095238,0.507576,0.442396,0.134276,0.552846,0,0.400932,0.310992,0.478702,0.315789,0.031873,0.420323
,numpy,0.540448,0.5386,0.357995,0.456057,0.507576,0.536779,0.521429,0.511194,0.528651,0.473118,0.536585,0.40566,0.56167
,open pilot,0.492462,0.394775,0.496608,0.52576,0.55665,0.593407,0.530952,0.626728,0.615746,0.556863,0.541799,0.546318,0.568855
,poetry,0.147059,0.079365,0.459893,0.3379,0.339394,0.472103,0.24,0.580087,0.542056,0.582278,0,0.204082,0.466667
,redash,0,0,0.115385,0.276498,0.054795,0.222222,0.054795,0.10596,0.129032,0.118343,0,0,0.229665
,scrapy,0.707124,0.706522,0.680597,0.603636,0.662757,0.635135,0.672269,0.68125,0.621118,0.599327,0.707124,0.640483,0.580645
,spaCy,0.713361,0.712162,0.594231,0.640124,0.712652,0.660311,0.713361,0.708006,0.705112,0.697697,0.713361,0.713361,0.659794
,transformers,0,0,0.306785,0.406091,0.189091,0.394161,0.211268,0.245033,0.255738,0.377778,0,0.057613,0.374026
,yolov5,0.787313,0.78538,0.772334,0.771543,0.787313,0.594805,0.787313,0.780303,0.781544,0.757085,0.787313,0.787313,0.77668
GAM,black,0.37037,0.054795,0.563536,0.316832,0.544118,0.495868,0.571429,0.598639,0.577465,0.503704,0,0.46281,0.431034
,celery,0,0,0.361934,0.324752,0.086022,0.342651,0,0.127273,0.127273,0.31746,0,0.086022,0.341556
,C python,0.764651,0.765957,0.749437,0.674456,0.761816,0.700895,0.764651,0.761668,0.764651,0.720232,0.764651,0.764505,0.711749
,django-rest-framework,0.88,1,1,1,1,1,1,1,1,0.977612,0.862745,1,0.959559
,jax,0.754717,0.780847,0.791096,0.772643,0.788396,0.733981,0.79258,0.787375,0.787671,0.783688,0.756672,0.79258,0.783242
,localstack,0,0.521898,0.50647,0.420048,0.131944,0.47032,0.074627,0.117647,0.183007,0.416076,0,0.126316,0.429245
,numpy,0.951267,1,1,1,1,0.99389,1,1,1,0.962656,0.903704,1,0.958159
,open pilot,0.981774,1,1,1,1,1,1,1,1,0.995074,0.9642,1,0.99
,poetry,0.033058,0.666667,0.437158,0.321101,0.50495,0.486957,0.555556,0.366864,0.588745,0.543933,0,0.454054,0.429825
,redash,0,0,0.173913,0.280543,0.067568,0.252427,0,0.10596,0.10596,0.182796,0,0.067568,0.32636
,scrapy,0.914676,1,1,1,1,1,1,1,1,0.865455,0.8375,0.992593,0.980989
,spaCy,0.827373,1,1,1,1,1,1,1,1,0.962422,0.781811,0.946465,1
,transformers,0,0,0.350975,0.383292,0.244224,0.310078,0.239203,0.236842,0.220736,0.418367,0,0.153846,0.380711
,yolov5,0.787313,0.786181,0.746747,0.765358,0.787313,0.738366,0.787313,0.787313,0.787313,0.776585,0.787313,0.787313,0.763343
