,,MNB,BNB,GNB,DTC,LOGR,KNN,SVCL,SVCLP,SVCR,BAGK,BAGNB,BAGL,BAGD
,poetry,0.39875,0.650631,0.66145,0.433349,0.662896,0.585542,0.638712,0.52294,0.625694,0.639262,0.421286,0.673137,0.529131
,radash,0.497578,0.514815,0.492868,0.559789,0.574115,0.576746,0.500426,0.48347,0.530763,0.603745,0.522103,0.547875,0.574552
,scrapy,0.481511,0.476166,0.582022,0.591905,0.526086,0.549079,0.444198,0.477847,0.474116,0.507059,0.463493,0.49926,0.579871
,spaCy,0.484281,0.583033,0.549033,0.627247,0.569089,0.641397,0.548749,0.456219,0.578171,0.657837,0.48526,0.556656,0.650582
,transformers,0.583004,0.533152,0.600835,0.564711,0.62364,0.578899,0.627936,0.602974,0.611159,0.611507,0.555118,0.590661,0.606701
,yolov5,0.453272,0.462896,0.512077,0.555802,0.446859,0.512238,0.468415,0.451443,0.481199,0.550948,0.452388,0.455288,0.543953
PCAM,black,0.555796,0.585229,0.591549,0.442308,0.556338,0.485103,0.460726,0.420368,0.570242,0.445468,0.483929,0.509751,0.516974
,celery,0.571469,0.510335,0.598753,0.642636,0.617727,0.6318,0.436023,0.554369,0.555762,0.645299,0.53052,0.610155,0.648837
,C python,0.496682,0.493734,0.517207,0.618286,0.492852,0.598123,0.476412,0.504687,0.506967,0.609987,0.490452,0.506732,0.617373
,django-rest-framework,0.511086,0.476811,0.49963,0.541497,0.511148,0.52536,0.429447,0.444106,0.446061,0.541928,0.477611,0.481492,0.540851
,jax,0.626302,0.571222,0.661906,0.618016,0.639339,0.611417,0.643689,0.625284,0.635993,0.656619,0.584741,0.623558,0.648441
,localstack,0.454984,0.462959,0.506087,0.550263,0.461346,0.598742,0.466504,0.483716,0.491163,0.535072,0.46304,0.457823,0.536298
,numpy,0.464639,0.469487,0.445763,0.528888,0.497209,0.515402,0.449662,0.476093,0.460941,0.522108,0.473544,0.468304,0.535669
,open pilot,0.506158,0.478471,0.556548,0.591989,0.574096,0.59683,0.538272,0.621619,0.620056,0.619046,0.493897,0.543037,0.599326
,poetry,0.612156,0.525341,0.660871,0.451024,0.680196,0.579582,0.659859,0.65092,0.641576,0.650544,0.572003,0.625174,0.536623
,radash,0.523891,0.475569,0.551701,0.558583,0.551992,0.548,0.50787,0.51258,0.518828,0.57056,0.524608,0.550391,0.579896
,scrapy,0.449644,0.517984,0.552508,0.536339,0.514925,0.561315,0.526287,0.420532,0.472771,0.510454,0.484772,0.510219,0.532775
,spaCy,0.528375,0.51004,0.491096,0.611187,0.546169,0.618666,0.460274,0.592689,0.591711,0.648066,0.516269,0.522301,0.633887
,transformers,0.568168,0.470718,0.555094,0.552817,0.58715,0.546844,0.571787,0.5483,0.557137,0.593238,0.546562,0.603346,0.573315
,yolov5,0.473263,0.485096,0.482669,0.554471,0.436908,0.524933,0.498509,0.481204,0.477265,0.534132,0.478257,0.451521,0.542597
GAM,black,0.393734,0.475894,0.573402,0.455399,0.530246,0.571416,0.458198,0.551914,0.493319,0.561936,0.40511,0.533676,0.495395
,celery,0.485831,0.53064,0.598445,0.631167,0.621011,0.603635,0.522294,0.586426,0.576954,0.65068,0.502888,0.617037,0.642518
,C python,0.478194,0.491915,0.491291,0.605911,0.472778,0.603486,0.466506,0.46723,0.477964,0.601573,0.479076,0.480399,0.617233
,django-rest-framework,1,1,1,1,1,1,1,1,1,0.99692,1,1,0.991423
,jax,0.472989,0.651733,0.66303,0.612622,0.618525,0.631281,0.615821,0.575786,0.6068,0.651131,0.458948,0.633971,0.621456
,localstack,0.497451,0.493839,0.503619,0.538335,0.469432,0.558691,0.519531,0.491958,0.496641,0.51418,0.499026,0.475303,0.53751
,numpy,1,1,1,1,1,0.99995,1,1,1,0.997618,1,1,0.994202
,open pilot,1,1,1,1,1,1,1,1,1,0.999951,1,1,0.999927
,poetry,0.449925,0.674352,0.66281,0.465228,0.681526,0.595609,0.665847,0.573854,0.66038,0.64985,0.477928,0.682394,0.555687
,radash,0.524275,0.509481,0.516416,0.552585,0.569811,0.572202,0.473084,0.51653,0.506643,0.558833,0.479946,0.545463,0.588888
,scrapy,1,1,1,1,1,1,1,1,1,0.948097,1,1,0.998655
,spaCy,1,1,1,1,1,1,1,1,1,0.98852,1,0.995289,1
,transformers,0.54933,0.522787,0.590709,0.56972,0.59585,0.557113,0.587917,0.56519,0.576509,0.603304,0.513068,0.599613,0.596246
,yolov5,0.476802,0.475763,0.486307,0.557153,0.466549,0.529657,0.459908,0.493967,0.460308,0.542774,0.4856,0.481017,0.533944
