,,MNB,BNB,GNB,DTC,LOGR,KNN,SVCL,SVCLP,SVCR,BAGK,BAGNB,BAGL,BAGD
,scrapy,0.070339,0.163084,0.027403,0.164021,-0.020158,0.086527,0.122333,0.072624,-0.016672,0.090331,0,0.009614,0.211769
,spaCy,0,0.107025,0.076273,0.201811,0.10362,0.21873,0.006213,-0.010944,0.085266,0.22853,0,0.034928,0.199925
,transformers,0.105121,0.005209,0.130006,0.168899,0.151981,0.068645,0.145767,0.138827,0.126313,0.126431,-0.032156,0.133629,0.200479
,yolov5,0,-0.028853,0.02216,0.087712,0,0.059445,0,-0.014224,0,0.093194,0,0,0.085704
PCAM,black,0.147782,0.224973,0.189089,0.021623,0.164949,-0.044784,0.181097,0.09034,0.196535,-0.029162,0,0.048089,0.1042
,celery,0,0.111698,0.096493,0.200033,0.045242,0.186514,0,0.115835,0.160005,0.176979,0,0,0.190336
,C python,0,-0.023817,-0.012006,0.161897,0.008105,0.142624,0.070056,0.008105,0.008105,0.132871,0,0,0.141747
,django-rest-framework,0,-0.051002,0.018954,0.082251,-0.028951,0.087179,0,0,0,0.068951,0,0,0.040238
,jax,0.203312,0.331746,0.347374,0.281018,0.309149,0.209248,0.311879,0.315103,0.288431,0.324463,0.06274,0.167723,0.298887
,localstack,0,-0.023235,0.006975,0.053095,-0.001155,0.151659,0,-0.00825,-0.026336,0.009169,-0.036875,-0.005571,0.016887
,numpy,-0.095233,-0.049804,-0.103438,0.066798,-0.061358,0.049294,-0.096852,-0.069904,-0.040882,-0.000402,-0.089882,-0.030757,0.058484
,open pilot,0.003578,-0.030853,0.085802,0.115164,0.112233,0.178929,0.02872,0.203652,0.194992,0.164584,-0.070643,0.058438,0.174124
,poetry,0.035859,0.024854,0.204738,-0.12619,0.128352,0.057977,0.070894,0.25569,0.237949,0.244845,-0.076944,0.033848,0.026231
,redash,0,-0.02881,0.102346,0.094896,0.076229,0.024106,0.076229,0.133881,0.13823,0.02654,0,0,0.051099
,scrapy,0,0.079838,0.08684,0.097572,-0.0049,0.09348,-0.056425,0.139402,-0.054812,-0.002624,0,-0.036089,0.028259
,spaCy,0,-0.019165,-0.040006,0.160299,-0.009522,0.178305,0,0.049633,0.099497,0.232148,0,0,0.155138
,transformers,0,-0.032412,0.083424,0.125612,0.102077,0.080658,0.100756,0.090106,0.097334,0.144329,0,0.027413,0.092142
,yolov5,0,0.009083,0.001908,0.112086,0,0.019829,0,0.008066,-0.013298,0.062808,0,0,0.110861
GAM,black,-0.149213,0.122257,-0.043289,0.057125,0.163307,0.175715,0.191898,0.209273,0.192849,0.095103,0,0.118799,0.104106
,celery,0,0,0.116723,0.18085,0.077755,0.154502,0,0.111698,0.111698,0.172015,0,0.077755,0.179418
,C python,0,0.10815,0.016779,0.136586,-0.037443,0.160274,0,-0.030566,0,0.117479,0,0.007767,0.152078
,django-rest-framework,0.570775,1,1,1,1,1,1,1,1,0.928321,0.490447,1,0.868431
